Fri Oct 10 15:57:29 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
10-10-2025 16:07:58.281,879.28,17.27
10-10-2025 16:07:59.509,879.27,17.27
10-10-2025 16:08:00.721,879.27,17.27
10-10-2025 16:08:01.744,878.95,17.28
10-10-2025 16:08:02.767,878.87,17.28
10-10-2025 16:08:03.822,878.87,17.28
10-10-2025 16:08:04.858,878.91,17.27
10-10-2025 16:08:06.122,879.12,17.28
10-10-2025 16:08:07.267,879.12,17.27
10-10-2025 16:08:08.346,879.13,17.26
10-10-2025 16:08:09.452,878.97,17.27
10-10-2025 16:08:10.459,878.83,17.26
10-10-2025 16:08:11.484,878.84,17.26
10-10-2025 16:08:12.557,878.83,17.28
10-10-2025 16:08:13.579,878.65,17.26
10-10-2025 16:08:14.603,878.53,17.26
10-10-2025 16:08:15.677,878.53,17.25
10-10-2025 16:08:16.748,878.54,17.25
10-10-2025 16:08:17.949,878.97,17.27
10-10-2025 16:08:19.148,879.03,17.25
10-10-2025 16:08:20.394,879.03,17.25
10-10-2025 16:08:21.543,878.83,17.25
10-10-2025 16:08:22.755,878.65,17.26
10-10-2025 16:08:23.876,878.65,17.26
