Thu Oct 02 16:34:24 CEST 2025

 ,Sensor type and serial number, 
 ,DR30-D1 65086, 

Time stamp,Irradiance [W/m^2],Temperature [degr Cels]
02-10-2025 16:42:30.322,886.34,14.72
02-10-2025 16:42:31.323,885.58,14.75
02-10-2025 16:42:32.326,885.57,14.74
02-10-2025 16:42:33.327,885.38,14.75
02-10-2025 16:42:34.328,885.83,14.75
02-10-2025 16:42:35.329,885.33,14.73
02-10-2025 16:42:36.330,885.65,14.74
02-10-2025 16:42:37.330,885.38,14.73
02-10-2025 16:42:38.333,885.32,14.71
02-10-2025 16:42:39.335,885.35,14.71
02-10-2025 16:42:40.336,885.40,14.70
02-10-2025 16:42:41.339,885.45,14.67
02-10-2025 16:42:42.341,885.34,14.67
02-10-2025 16:42:43.357,885.05,14.64
02-10-2025 16:42:44.358,884.62,14.65
02-10-2025 16:42:45.361,885.24,14.66
02-10-2025 16:42:46.363,885.41,14.65
02-10-2025 16:42:47.364,885.36,14.68
02-10-2025 16:42:48.365,885.12,14.67
02-10-2025 16:42:49.366,885.32,14.67
02-10-2025 16:42:50.366,884.94,14.67
02-10-2025 16:42:51.369,885.05,14.65
02-10-2025 16:42:52.369,885.37,14.66
02-10-2025 16:42:53.370,885.34,14.67
02-10-2025 16:42:54.377,885.24,14.66
02-10-2025 16:42:55.379,885.39,14.66
02-10-2025 16:42:56.387,885.32,14.65
02-10-2025 16:42:57.388,884.93,14.64
02-10-2025 16:42:58.389,884.57,14.64
02-10-2025 16:42:59.390,884.50,14.64
02-10-2025 16:43:00.391,884.54,14.64
02-10-2025 16:43:01.392,884.90,14.64
02-10-2025 16:43:02.393,884.66,14.60
02-10-2025 16:43:03.394,884.47,14.59
02-10-2025 16:43:04.397,884.44,14.57
02-10-2025 16:43:05.398,884.40,14.56
02-10-2025 16:43:06.399,884.87,14.57
02-10-2025 16:43:07.400,885.00,14.59
02-10-2025 16:43:08.401,884.79,14.60
02-10-2025 16:43:09.401,884.56,14.60
02-10-2025 16:43:10.402,884.25,14.60
02-10-2025 16:43:11.403,884.38,14.59
02-10-2025 16:43:12.409,884.52,14.58
02-10-2025 16:43:13.412,883.68,14.57
02-10-2025 16:43:14.414,883.38,14.58
02-10-2025 16:43:15.416,883.72,14.57
02-10-2025 16:43:16.418,883.83,14.58
02-10-2025 16:43:17.421,883.56,14.58
02-10-2025 16:43:18.422,883.26,14.57
02-10-2025 16:43:19.423,882.29,14.56
02-10-2025 16:43:20.423,882.77,14.53
02-10-2025 16:43:21.426,883.00,14.53
02-10-2025 16:43:22.427,882.74,14.53
02-10-2025 16:43:23.428,883.35,14.52
02-10-2025 16:43:24.437,884.18,14.53
02-10-2025 16:43:25.438,883.60,14.51
02-10-2025 16:43:26.439,883.38,14.50
02-10-2025 16:43:27.440,883.53,14.51
02-10-2025 16:43:28.441,883.50,14.50
02-10-2025 16:43:29.442,883.45,14.51
02-10-2025 16:43:30.443,883.43,14.50
